Batch,Round,CS#,LikertItem,11&21,12&22,13&23,14&24,15&25
1,1,1,1,,Disagree,Disagree,Disagree,Disagree
1,1,1,2,,Strongly agree,Strongly agree,Agree,Neutral
1,1,1,3,,Strongly agree,Agree,Agree,Strongly disagree
1,1,1,4,,Strongly agree,Neutral,Disagree,Strongly disagree
1,1,1,5,,Agree,Agree,Disagree,Strongly disagree
1,1,2,1,Strongly agree,,Strongly agree,Strongly disagree,Disagree
1,1,2,2,Agree,,Strongly agree,Agree,Neutral
1,1,2,3,Agree,,Strongly agree,Agree,Agree
1,1,2,4,Agree,,Strongly agree,Agree,Agree
1,1,2,5,Neutral,,Agree,Neutral,Agree
1,1,3,1,Agree,Agree,,Disagree,Disagree
1,1,3,2,Strongly agree,Strongly agree,,Neutral,Strongly disagree
1,1,3,3,Strongly agree,Strongly agree,,Agree,Neutral
1,1,3,4,Agree,Strongly agree,,Agree,Strongly disagree
1,1,3,5,Neutral,Strongly agree,,Disagree,Strongly disagree
1,1,4,1,Strongly agree,Strongly agree,Agree,,Agree
1,1,4,2,Agree,Strongly agree,Agree,,Strongly agree
1,1,4,3,Strongly agree,Neutral,Disagree,,Neutral
1,1,4,4,Strongly agree,Neutral,Agree,,Neutral
1,1,4,5,Strongly agree,Neutral,Agree,,Neutral
1,1,5,1,Strongly agree,Neutral,Agree,Neutral,
1,1,5,2,Strongly agree,Strongly agree,Strongly agree,Strongly agree,
1,1,5,3,Strongly agree,Strongly agree,Strongly agree,Agree,
1,1,5,4,Strongly agree,Strongly agree,Strongly agree,Agree,
1,1,5,5,Neutral,Agree,Agree,Neutral,
1,1,6,1,,Neutral,Disagree,Disagree,Neutral
1,1,6,2,,Agree,Neutral,Disagree,Neutral
1,1,6,3,,Strongly agree,Disagree,Agree,Agree
1,1,6,4,,Strongly agree,Disagree,Neutral,Agree
1,1,6,5,,Agree,Disagree,Disagree,Agree
1,1,7,1,Agree,,Agree,Disagree,Strongly disagree
1,1,7,2,Agree,,Agree,Neutral,Neutral
1,1,7,3,Strongly agree,,Strongly agree,Agree,Agree
1,1,7,4,Neutral,,Strongly agree,Agree,Agree
1,1,7,5,Neutral,,Agree,Neutral,Agree
1,1,8,1,Strongly agree,Agree,,Neutral,Neutral
1,1,8,2,Strongly agree,Strongly agree,,Agree,Neutral
