Duration (in seconds),ParticpantID,HS1.1,CS1.1,TIME1.1,AUTH1.1_5,HS1.2,CS1.2,TIME1.2,AUTH1.2_5,HS1.3,CS1.3,TIME1.3,AUTH1.3_5,CS2.1,TIME2.1,AUTH2.1_1,AUTH2.1_2,AUTH2.1_3,AUTH2.1_4,AUTH2.1_5,CS2.2,TIME2.2,AUTH2.2_1,AUTH2.2_2,AUTH2.2_3,AUTH2.2_4,AUTH2.2_5,CS2.3,TIME2.3,AUTH2.3_1,AUTH2.3_2,AUTH2.3_3,AUTH2.3_4,AUTH2.3_5,UEQ_1,UEQ_2,UEQ_3,UEQ_4,UEQ_5,UEQ_6,UEQ_7,UEQ_8
Duration (in seconds),Please enter here the personal code that you are given to:,Please choose a hate speech instance that you want to write counterspeech for.,Please write a corresponding counterspeech response to the chosen hate speech comment:,Timing - Page Submit,"For the written counterspeech (CS), please indicate how much you agree with the following statement. - I would feel comfortable posting this CS publicily under my own identity.",Please choose a hate speech instance that you want to write counterspeech for.,Please write a corresponding counterspeech response to the chosen hate speech comment:,Timing - Page Submit,"For the written counterspeech (CS), please indicate how much you agree with the following statement. - I would feel comfortable posting this CS publicily under my own identity.",Please choose a hate speech instance that you want to write counterspeech for.,Please write a corresponding counterspeech response to the chosen hate speech comment:,Timing - Page Submit,"For the written counterspeech (CS), please indicate how much you agree with the following statement. - I would feel comfortable posting this CS publicily under my own identity.","Please write again a corresponding counterspeech response to this hate speech comment, this time using the browser extension for assistance.",Timing - Page Submit,"For the written counterspeech (CS), please indicate how much you agree with the following statements. - The CS reflects my thoughts, feelings, and values.","For the written counterspeech (CS), please indicate how much you agree with the following statements. - I felt actively engaged in the writing process of the CS.","For the written counterspeech (CS), please indicate how much you agree with the following statements. - I stand behind the generated CS and feel accountable for it.","For the written counterspeech (CS), please indicate how much you agree with the following statements. - The style and tone of the CS reflect how I would naturally write.","For the written counterspeech (CS), please indicate how much you agree with the following statements. - I would feel comfortable posting this CS publicily under my own identity.","Please write again a corresponding counterspeech response to this hate speech comment, this time using the browser extension for assistance.",Timing - Page Submit,"For the written counterspeech (CS), please indicate how much you agree with the following statements. - The CS reflects my thoughts, feelings, and values.","For the written counterspeech (CS), please indicate how much you agree with the following statements. - I felt actively engaged in the writing process of the CS.","For the written counterspeech (CS), please indicate how much you agree with the following statements. - I stand behind the generated CS and feel accountable for it.","For the written counterspeech (CS), please indicate how much you agree with the following statements. - The style and tone of the CS reflect how I would naturally write.","For the written counterspeech (CS), please indicate how much you agree with the following statements. - I would feel comfortable posting this CS publicily under my own identity.","Please write again a corresponding counterspeech response to this hate speech comment, this time using the browser extension for assistance.",Timing - Page Submit,"For the written counterspeech (CS), please indicate how much you agree with the following statements. - The CS reflects my thoughts, feelings, and values.","For the written counterspeech (CS), please indicate how much you agree with the following statements. - I felt actively engaged in the writing process of the CS.","For the written counterspeech (CS), please indicate how much you agree with the following statements. - I stand behind the generated CS and feel accountable for it.","For the written counterspeech (CS), please indicate how much you agree with the following statements. - The style and tone of the CS reflect how I would naturally write.","For the written counterspeech (CS), please indicate how much you agree with the following statements. - I would feel comfortable posting this CS publicily under my own identity.",Please assess the browser extension now by ticking one circle per line. - obstructive:supportive,Please assess the browser extension now by ticking one circle per line. - complicated:easy,Please assess the browser extension now by ticking one circle per line. - inefficient:efficient,Please assess the browser extension now by ticking one circle per line. - confusing:clear,Please assess the browser extension now by ticking one circle per line. - boring:exciting,Please assess the browser extension now by ticking one circle per line. - not interesting:interesting,Please assess the browser extension now by ticking one circle per line. - conventional:inventive,Please assess the browser extension now by ticking one circle per line. - usual:leading edge
863,11,"LGBT+: I am not a homophobe, I just don't like the way gay people act.","And how does a gay person act? How is it different from ""straight"" acting?",33.985,Strongly agree,WOMEN: The feminists have won. With so many women being unwilling to procreate we will be replaced and lose our civilisation.,well maybe the world where women has no rights doesn't deserve to exist ,63.455,Strongly agree,"MIGRANTS: I think that's the best news ever: migrants are not interested in our culture, they are just here to take our jobs.","Maybe you should be better in order to take ""your job""?",27.838,Strongly agree,"Let's discuss what you mean by ""act differently"" and I think I act like everyone else. I work, I pay taxes, I respect other people. I hope this shows that gay people are just like anyone else, deserving of respect and kindness.",225.422,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,"I'd like to offer a different perspective: a world where women have rights is a world where we should live. Instead of fearing change, let's work towards a future where everyone has the opportunity to contribute and succeed.",167.573,Strongly agree,Agree,Agree,Neutral,Strongly agree,"I'd like to share as a gay men from Russia I was under the threat to be prosecuted and as many other gay people we spend years to getting a good education in order to leave our countries to have a better and happier life. The one that you have by a birthright. I hope this illustrates that migrating is not just about taking jobs, but also about seeking a better life and contributing to the community in meaningful ways.",219.261,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,7,5,6,5,6,7,6,6
3241,12,"DISABLED: Children with Down Syndrome should be isolated, because in any case normal children would make them feel different, ending up in unwanted discrimination.",Isolation is leading to comments like yours! Living in and creating spaces where all children meet each other is exactly how to counter this stereotyping from early childhood onward.,195.26,Neutral,JEWS: I don't know Jews personally but it seems to me that they are a bunch of thieves.,"What is your basis for such a generalized claim? This seems more like a conspiracy theory, one that has harmed many lives already (quick reminder of history here). Maybe reflect a bit more on spreading such accusations on the internet.",130.157,Disagree,"LGBT+: I am not a homophobe, I just don't like the way gay people act.","First of all: please get in line with people who hate me :) As a queer woman myself, I do not fully understand our argumentation because I doubt you meet every person on the planet. Short reminder: 1 in 5 persons on the planet is part of the rainbow family, so you might already have met some of us, consciously or subconsciously, and I highly doubt you hated interacting with all of them :) ",159.71,Agree,"Your solution might be the problem - isolation can make people with Down Syndrome feel more excluded, not less. In fact, isolation leads to comments like yours! Actually, creating and living in shared spaces from early childhood onward mitigates stigmatizing comments like yours! ",489.47,Agree,Agree,Strongly agree,Disagree,Agree,"Your comment sounds like it's from the Middle Ages, perpetuating harmful stereotypes that led to hate and unnecessary stigmatizing of Jewish people throughout history, causing immense suffering. Maybe have a look at your history book again... :) ",355.025,Agree,Neutral,Agree,Neutral,Agree,"First of all: Please get in line with people who hate me :) Second, do you know that 1 in 5 people on the planet is part of the rainbow family? Dare I say, you probably encountered one of us in your life already :) I highly doubt that you actually liked interacting with all of them :)",480.717,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,5,5,4,6,6,5,4,4
1259,13,"LGBT+: I am not a homophobe, I just don't like the way gay people act.","Even though you claim not to be a homophobe, you write a generalized and homophobic statement that can be hurtful and is distasteful.",70.784,Disagree,WOMEN: The feminists have won. With so many women being unwilling to procreate we will be replaced and lose our civilisation.,It is a woman's body that carries and births a child and so it is nobody's right to judge what women decide to do with their bodies and for which reasons.,57.445,Agree,JEWS: I don't know Jews personally but it seems to me that they are a bunch of thieves.,This is clearly not just an antisemitic comment but also a hurtful statement that is clearly false. ,48.488,Disagree,"Your statement affects gay people, promoting a negative stereotype.",166.869,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,"Rather than blaming feminists or women, let's work together to build a world where everyone has the freedom to make their own choices and live with dignity, regardless of their gender or reproductive decisions.",70.942,Strongly agree,Agree,Strongly agree,Disagree,Disagree,"I understand your concerns, but generalizing Jews as thieves is inaccurate and promotes antisemitism, affecting many innocent people.",132.461,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,7,7,7,7,6,7,7,7
1890,14,"MIGRANTS: I think that's the best news ever: migrants are not interested in our culture, they are just here to take our jobs.",I am sorry to hear that and wonder where your anger (is it anger?) comes from. Is there something specific that you feel like is going wrong? ,260.716,Agree,JEWS: I don't know Jews personally but it seems to me that they are a bunch of thieves.,"If you don't know any, what makes you say that and why would you rely on such harmful stereotypes?",106.678,Agree,MUSLIMS: Every Muslim is a potential terrorist.,Wild statement ... sorry that you feel that way. What is your opinion based on?,107.866,Agree,"I understand your concern, but let's focus on creating opportunities for everyone, rather than pitting groups against each other.",244.886,Strongly agree,Disagree,Agree,Agree,Agree,"I understand you may have concerns, but labeling an entire group as thieves is unfair and inaccurate. Let's focus on individual actions rather than making sweeping generalizations about Jews.",230.412,Agree,Agree,Agree,Disagree,Agree,"Using that logic, every person who's ever driven a car is a potential drunk driver,  let's not generalize, shall we?",165.131,Agree,Agree,Agree,Neutral,Agree,7,6,6,6,7,7,6,5
1521,15,"DISABLED: Children with Down Syndrome should be isolated, because in any case normal children would make them feel different, ending up in unwanted discrimination.","All children have equal rights and deserve equal treatment. In my opinion, all children, including the ""normal"" ones, should learn to function in society without discriminating against each other and with tolerance.",121.16,Agree,MUSLIMS: Every Muslim is a potential terrorist.,"Religion is an identifying factor; all people can be good or bad, and religion does not define this. It is such a stereotypical and flawed view that affects Muslim people's lives and how they integrate into different settings!",117.868,Agree,"MIGRANTS: I think that's the best news ever: migrants are not interested in our culture, they are just here to take our jobs.","Healthy competition leads to efficient use of resources, the economy will correct itself!",42.004,Strongly agree,"Segregating children with Down Syndrome is not the solution, as it can lead to further exclusion and stigma. Instead, we should promote respect, understanding, and equal opportunities for all children.",255.847,Agree,Neutral,Agree,Agree,Strongly agree,"It's essential to recognize that people's actions and intentions vary greatly, regardless of their religious background, and making broad assumptions can perpetuate stereotypes and harm innocent individuals.",97.108,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,"I understand your concerns about job security, but it's essential to recognize the value migrants bring to our economy, promoting healthy competition and efficiency. With ageing populations, some economies are indeed in great need of migrants!",299.926,Neutral,Agree,Agree,Agree,Agree,5,7,7,7,7,7,7,5
2043,21,WOMEN: The feminists have won. With so many women being unwilling to procreate we will be replaced and lose our civilisation.,"Have you ever asked why women would be ""unwilling to procreate""? Is procreation all there is? What are societal pressures that women face with this? There are so many big words here to unpack... ",254.63,Agree,"LGBT+: I am not a homophobe, I just don't like the way gay people act.",Such as? Is grouping people this way really helpful... ?,144.236,Neutral,"DISABLED: Children with Down Syndrome should be isolated, because in any case normal children would make them feel different, ending up in unwanted discrimination.","Maybe this wouldn't be an issue in the first place if we raised our kids without forcing ""normal"" onto them... ?",62.088,Agree,"Feminism fights for equal rights, not against any group, but for everyone's benefit. Why are we putting the blame on women??",291.521,Agree,Agree,Strongly agree,Neutral,Agree,"Let's focus on understanding individuals, not generalizing groups... there is no one way to act and hate from misconception is unwarranted!",243.522,Agree,Agree,Strongly agree,Agree,Agree,"Your suggestion to isolate children with Down Syndrome is rooted in the idea that they would feel different among their peers. This line of thinking assumes that there is a universal standard of ""normal"" that everyone should strive for. But, we're all different and our differences should be valued, starting with fostering a culture of acceptance and empathy.",281.763,Agree,Strongly agree,Strongly agree,Neutral,Agree,6,7,5,7,4,5,3,2
1644,22,"POC: I am not racist, but I definitely would not raise my children in the suburbs where the majority of people is black.","What you're saying is probably much closer to racism than you think. Your kid will grow up and learn much more things from the people you label black, culture, food, music, and basic human values. What you're saying is just racist generalist rhetoric and unless you go deeper, I can't really engage here. ",166.759,Strongly agree,"LGBT+: I am not a homophobe, I just don't like the way gay people act.","And they should act differently because you disapprove? Where does the line stop? If straight people act differently to how you perceive what is ""okay"", is that a problem too? Would you change your behavior or identity because someone finds it not cool? You should look in the mirror, and look at your freedom, then let people have theirs. You start with gay people, then it's women in general, then muslims, until everyone is just a copy of yourself? Kind of silly...",152.121,Strongly agree,JEWS: I don't know Jews personally but it seems to me that they are a bunch of thieves.,"No one is a thief because they're jewish. There's thieves from every ethnicity, and there's thieves who happened to be jewish. We can sit all day long and debate individuals, but generalizations like these are just silly. There is absolutely no data to back this statement, just old and outdated propaganda campaigns that did no one any good before. ",117.915,Strongly agree,"Your statement implies that black people are inferior, which is not true. Every community has its unique strengths and weaknesses, and it's essential to focus on shared human values.",185.769,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,"I'd like to encourage you to think about the importance of self-expression and individuality. Everyone has the right to be themselves, without fear of judgment or persecution. By embracing this concept, you'll not only be promoting a more inclusive environment, but also fostering a deeper understanding of the LGBTQ+ community. Let's focus on building bridges, rather than creating divisions, and work towards a society where everyone can thrive and feel valued, regardless of their sexual orientation or identity.",240.025,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,"It's crucial to separate individual actions from collective identities. Not all Jews are thieves, just as not all individuals from any group fit a particular stereotype; let's promote understanding and avoid perpetuating harmful rhetoric.",172.471,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,6,7,5,7,6,6,7,7
1916,23,MUSLIMS: Every Muslim is a potential terrorist.,"Whilst this may seem like your truth, Islam is a religion that promotes peace, there are groups that skew islamic teachings and use them to commit acts of terrorism but to say that every Muslim is a potential terrorist is simply untrue. ",138.641,Strongly agree,"POC: I am not racist, but I definitely would not raise my children in the suburbs where the majority of people is black.","May I ask what about black neighbourhoods disincentivizes you to raise your children within them? Exposing children to different cultures early on is a sure way to ensure that they are more open and understanding of those with different backgrounds to them. Imagine how you would feel if you saw someone post a comment about not wanting to live in neighbourhoods with people of your ethnic background.
",190.524,Strongly agree,JEWS: I don't know Jews personally but it seems to me that they are a bunch of thieves.,"The irony in this statement is palpable. You have admitted not to know any Jewish people personally yet you remain willing to make a general statement publicly on them. Uninformed remarks like this perpetuate a stereotype that needn't exist. I suggest you go into the real world, meet some Jewish people and rethink your comment! ",201.513,Strongly agree,"I understand that your statement may be driven by fear or concern, but it's essential to recognize that Islam, as a religion, promotes peace and harmony. The actions of a few extremists should not be used to generalize an entire community. By doing so, we risk perpetuating stereotypes and fueling further division. I encourage you to consider the diverse experiences and perspectives within the Muslim community, and to approach this topic with empathy and understanding. This will help to foster a more inclusive and respectful environment for everyone.",186.879,Agree,Agree,Agree,Disagree,Strongly agree,"Can you help me understand what led you to decide that raising children in a predominantly black neighbourhood is undesirable, and how this decision aligns with your values of not being racist?",181.624,Strongly agree,Agree,Agree,Neutral,Agree,"I'm concerned about the impact of your comment on the Jewish community, as well as the potential damage it could cause to the reputation of this publication. As someone who doesn't personally know any Jews, I wonder what led you to form such a negative opinion about an entire group of people. Instead of relying on assumptions or stereotypes, I'd like to invite you to consider the value of getting to know individuals from diverse backgrounds and experiences. By doing so, we can work towards creating a more empathetic and informed discourse, one that promotes understanding and respect rather than perpetuating harmful generalizations.",192.288,Agree,Agree,Agree,Disagree,Agree,7,7,7,6,7,6,7,6
2458,24,"MIGRANTS: I think that's the best news ever: migrants are not interested in our culture, they are just here to take our jobs.","I disagree, I think people fleeing from horrific situations and war zones are not coming to take jobs away but are looking for a better life.  ",256.777,Agree,"POC: I am not racist, but I definitely would not raise my children in the suburbs where the majority of people is black.","I fully disagree with this prejudice statement. To say that raising your children with other cultures and ethnicities is bad for your kids is an awful thing to say. You are saying that growing up in an enviroment where everyone has the same skin colour as you is better, which is definitely racist.",335.085,Agree,"DISABLED: Children with Down Syndrome should be isolated, because in any case normal children would make them feel different, ending up in unwanted discrimination.","This is a totally wrong approach towards discrimination. By doing this you are discriminating Disabled people from society and thus you will make children with Down Syndrome feel even more discriminated and the rest of society will not learn and discover how beautiful life is, living with people that have Down Syndrome.",306.335,Agree,"By working together and understanding the challenges faced by migrants, we can create a more inclusive environment and address the root causes of migration, rather than simply assuming they are here to exploit our job market.",152.226,Agree,Agree,Strongly agree,Neutral,Agree,It's surprising to hear that you'd avoid a neighborhood based on ethnicity; don't you think this could teach your children to fear or distrust people different from themselves?,183.017,Agree,Agree,Agree,Disagree,Agree,"By interacting with children with Down Syndrome, we can break down stereotypes and foster a more compassionate environment, where everyone feels valued and respected, regardless of their abilities.",284.21,Agree,Agree,Agree,Neutral,Agree,7,7,6,6,5,6,6,5
